100 166
66 65 1
66 41 8
7 11 1
31 86 5
38 19 1
37 34 1
46 27 10
83 69 1
34 27 9
79 53 3
58 56 7
67 17 2
92 75 7
63 46 5
96 23 1
50 5 9
87 63 9
85 18 4
55 61 7
93 88 3
71 1 1
3 78 5
3 47 1
60 92 1
27 56 5
96 52 7
29 53 6
7 69 1
79 93 7
83 17 3
85 67 1
61 39 7
49 71 1
38 45 1
45 27 3
7 9 3
4 77 3
97 51 10
21 77 7
63 21 5
57 51 5
34 21 1
7 61 1
39 37 10
27 86 1
27 85 8
67 61 5
75 37 7
80 36 1
33 99 1
82 31 5
81 19 3
11 68 7
58 77 7
61 63 6
44 43 2
87 65 3
19 85 1
41 29 2
25 75 1
38 77 7
96 41 1
96 69 4
48 41 5
68 81 3
77 9 1
97 61 6
32 29 9
6 22 3
6 21 2
13 1 3
90 5 9
7 36 2
85 81 1
97 65 1
48 71 9
91 26 2
45 71 4
93 41 7
79 37 1
20 72 3
29 50 1
75 70 9
49 50 1
74 79 5
32 97 10
39 73 5
9 25 5
67 80 7
54 64 9
69 85 1
64 2 7
26 89 1
22 87 1
26 71 10
85 27 1
82 25 7
13 56 9
21 66 1
33 99 1
54 93 6
11 1 7
20 58 7
59 45 3
100 11 7
93 31 7
47 92 7
59 39 3
38 73 1
17 62 7
41 46 3
39 56 3
1 73 5
38 4 5
93 49 5
18 17 7
48 81 1
80 21 9
90 86 7
32 17 3
63 55 2
13 93 8
36 21 1
70 84 4
65 5 6
86 94 5
23 9 7
96 83 1
79 1 3
92 11 1
26 43 3
22 40 8
51 26 7
24 1 6
49 89 1
7 1 5
51 45 9
51 61 3
5 66 9
3 81 9
26 81 1
79 77 1
73 61 10
94 86 7
4 81 1
42 91 9
89 36 9
43 77 5
51 13 2
84 31 2
27 9 1
98 53 3
15 86 9
47 37 6
36 15 8
28 40 3
68 33 5
6 42 5
93 91 3
64 13 7
54 80 6
31 85 9
33 69 5
9 91 3
30 79 1
33 41 9
89 13
