1000 1666
264 490 5
640 705 9
406 201 3
869 531 3
113 743 2
233 325 3
1 751 1
76 901 7
779 128 4
422 25 1
787 215 1
781 881 5
394 171 5
432 394 3
919 319 1
440 653 1
292 409 1
963 712 7
253 824 3
891 854 7
80 947 9
771 394 8
676 913 1
299 25 7
851 342 8
430 215 6
163 361 1
790 549 4
592 206 10
209 135 1
5 731 8
782 901 2
475 261 6
938 438 9
167 416 9
477 517 3
257 291 1
928 951 9
614 893 9
939 856 5
261 521 9
993 51 1
801 628 3
110 577 5
942 593 5
255 81 4
958 346 1
461 913 3
736 133 1
669 235 8
598 197 5
251 691 7
142 673 6
403 463 5
381 71 7
714 478 3
375 793 1
465 41 6
393 62 9
735 737 6
209 909 3
303 751 7
628 288 1
662 929 9
373 265 10
629 721 1
776 728 1
87 281 6
802 753 2
890 986 4
997 971 4
996 800 6
660 841 7
68 261 5
140 662 1
420 1 9
5 911 3
688 281 5
369 149 5
85 955 6
582 256 3
99 502 3
763 149 7
719 10 7
118 618 5
677 377 8
367 699 5
320 238 5
767 237 3
891 736 7
84 885 3
56 484 4
13 822 8
883 281 6
975 830 3
168 131 10
756 331 1
111 401 5
778 177 4
836 122 3
853 141 7
146 545 4
614 897 1
19 670 9
620 777 3
487 205 9
972 827 5
990 691 1
872 990 7
549 267 1
881 233 5
199 773 9
651 697 1
426 631 1
781 965 9
899 81 6
763 585 1
708 641 9
480 1 1
265 31 3
534 527 9
101 505 5
393 438 5
298 698 6
279 185 6
962 941 10
825 57 7
980 678 1
995 665 1
72 497 9
54 496 5
887 619 9
340 517 1
653 363 7
908 921 9
147 51 1
402 821 9
413 238 5
326 934 2
77 251 7
53 649 10
920 571 1
873 53 9
16 937 6
488 393 9
904 367 5
402 10 1
753 567 6
612 77 5
619 181 6
30 343 1
50 876 1
630 925 5
773 499 6
84 521 1
372 289 8
87 819 9
530 401 1
734 281 7
718 737 1
480 561 6
622 241 7
728 861 3
353 431 3
76 955 3
150 505 3
269 647 6
649 337 1
597 501 10
642 697 10
838 501 2
296 21 1
422 731 4
979 961 1
715 201 1
394 951 10
258 85 1
456 281 1
379 561 3
237 41 4
104 369 1
284 831 3
969 837 9
685 400 1
885 971 2
657 849 1
809 477 3
934 761 1
662 447 1
74 531 3
788 934 5
566 243 7
487 89 1
993 287 4
671 449 1
952 51 9
764 323 1
670 326 8
653 336 9
271 989 2
101 737 2
593 876 5
297 345 9
791 398 7
730 825 1
631 953 5
782 720 3
18 923 9
555 971 5
551 554 4
869 359 5
158 720 5
403 51 1
834 413 1
970 969 9
132 417 3
59 425 1
787 226 5
578 483 1
123 426 3
956 35 1
776 407 1
44 793 1
610 883 8
408 551 4
940 968 5
252 161 1
815 286 1
301 659 9
648 932 4
223 51 1
357 671 7
873 9 9
753 855 9
46 60 5
973 493 9
16 650 10
152 993 5
687 429 1
997 945 8
725 569 9
536 141 1
231 173 1
463 34 1
459 532 8
929 541 1
7 365 1
424 561 9
885 583 2
599 495 5
812 685 2
449 545 9
892 521 3
437 749 1
467 969 5
825 525 5
310 562 3
692 877 1
710 74 4
314 491 9
331 407 8
688 116 5
995 61 2
783 841 6
797 833 8
926 380 5
192 890 5
177 738 3
309 801 3
823 426 1
379 19 1
141 405 5
750 626 7
12 923 8
372 61 1
314 454 7
438 377 9
7 732 1
593 787 5
818 705 1
296 664 1
560 429 1
322 485 5
256 753 1
588 73 9
202 593 7
190 944 9
404 891 5
619 81 6
964 221 3
327 337 7
380 445 5
197 809 10
634 291 1
620 481 7
510 830 1
768 881 5
296 273 9
572 206 3
270 533 5
920 882 7
71 861 9
562 197 3
898 577 2
350 179 7
778 517 1
174 480 1
931 709 9
647 166 1
890 561 9
280 545 5
323 740 1
50 42 5
211 706 3
270 497 6
962 128 1
124 869 5
915 29 2
735 483 3
565 701 3
376 624 1
547 495 8
231 908 10
680 91 6
314 292 4
985 525 6
552 997 10
914 97 3
984 353 9
201 126 7
525 1 3
423 922 5
179 31 3
116 13 7
456 267 5
299 976 6
789 193 7
364 526 1
824 882 3
66 275 1
362 23 8
980 633 6
512 595 7
867 134 8
57 126 3
941 775 10
317 986 9
236 449 10
549 621 7
898 971 1
374 699 10
475 794 4
544 439 6
282 426 7
896 853 7
171 651 7
955 771 1
463 156 1
256 126 7
74 269 7
44 501 1
803 47 8
412 441 9
324 349 1
280 158 1
894 479 3
609 533 1
65 193 5
678 920 7
617 1 1
710 921 1
661 225 1
517 189 5
449 361 1
703 413 7
707 927 1
38 247 6
500 329 3
482 575 6
232 721 1
448 476 3
650 136 6
14 337 4
337 340 1
932 117 1
444 273 9
280 749 6
118 25 1
515 933 3
576 537 5
38 196 9
504 891 3
739 651 1
997 401 1
293 159 7
406 22 7
162 1 5
942 993 7
177 471 8
146 1 5
317 100 3
169 707 1
427 940 1
560 501 9
949 196 1
704 529 6
918 226 1
802 16 4
761 794 2
153 821 3
939 913 2
328 481 7
929 689 1
1 191 7
129 399 4
982 793 2
690 337 3
253 753 7
784 416 1
659 809 1
222 673 6
500 671 1
842 743 5
328 473 3
849 895 9
429 491 5
169 49 3
413 517 7
160 966 6
237 776 3
723 689 5
858 67 1
232 873 1
497 76 5
116 875 3
478 169 1
441 259 7
885 447 1
12 980 1
575 152 7
710 233 3
633 86 8
330 829 3
963 691 5
924 691 1
792 395 1
759 201 5
691 706 1
367 529 7
956 619 5
922 1 1
270 545 3
145 737 1
532 271 3
251 766 5
696 835 4
653 16 8
567 43 8
453 9 1
469 311 1
296 651 7
576 261 1
893 55 5
66 213 9
495 699 9
439 98 4
414 257 10
739 681 1
863 191 1
648 626 9
421 145 1
168 917 3
400 296 7
726 324 4
724 171 8
448 113 3
990 18 6
146 364 7
73 319 2
391 197 2
403 979 6
623 945 1
907 257 10
303 751 3
687 519 9
504 500 1
436 787 3
290 213 9
887 161 1
436 873 10
884 880 9
722 651 1
287 487 1
323 883 3
271 549 1
170 306 6
138 866 2
979 897 6
847 761 1
896 593 1
256 90 5
493 433 2
263 316 7
654 915 8
868 593 7
891 391 9
117 703 1
596 411 3
93 551 10
475 207 1
297 529 1
5 392 10
674 753 10
910 185 3
275 897 3
858 681 6
161 897 1
645 667 10
415 657 10
673 561 5
674 616 1
31 413 5
620 351 3
286 852 5
240 113 1
61 501 1
602 253 4
759 585 7
499 641 8
954 129 5
804 627 1
978 451 6
414 575 2
158 673 2
52 217 9
175 969 7
31 675 2
196 758 6
634 876 1
276 645 7
205 257 7
342 493 4
592 935 8
256 649 7
2 625 1
953 131 9
473 827 1
810 224 3
562 462 1
214 783 6
397 41 9
717 216 9
279 745 9
883 947 6
151 877 1
384 366 2
792 247 10
114 21 5
496 494 6
834 380 3
660 193 1
350 341 2
274 901 8
326 118 1
201 441 9
20 603 5
299 705 4
654 211 2
365 535 1
524 186 4
475 776 1
